Title,References,Included,Choper (2011)+S - DeBruyne,Farber (2013)+S - DeBruyne,Barnett (2013)+S - DeBruyne,Stone (2013)+S - DeBruyne,Sullivan (2013)+S - Eichenberger,Varat (2013?)+S - Eichenberger,Chemerinsky (2013)+S -Taylor,Rotunda (2012?)+S -Taylor,Funk -Taylor,Maggs-Taylor,Paulson (2013)+S - DeBruyne,Shanor (2009)+S - DeBruyne,Young-Eichenberger,Massey (2012)+S - DeBruyne,Weaver (2013)+S - DeBruyne,Brettschneider-Eichenberger,Epstein-Walker (Vol 1) (2013)+S - Eichenberger,Epstein-Walker (Vol 2) (2013)+S - Eichenberger,Fisher (Vol 1) 10e (2013) - Taylor,Fisher (Vol 2) 10e (2013) - Taylor,Murphy et al. (2013) - DeBruyne,Gillman et al. Vol 1 (2012) - DeBruyne,Gillman et al. Vol 2 (2012) - DeBruyne,Citation,ID,Date,Category,Issue,Legal Provision
"Goss v. Lopez",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"419 U.S. 565","1974-028","1975-01-22","Due Process","due process: hearing or notice (other than as pertains to government employees or prisoners' rights)","Constitutional Amendment: Fourteenth Amendment (due process)"
"Gravel v. United States",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"408 U.S. 606","1971-175","1972-06-29","First Amendment","First Amendment, miscellaneous (cf. comity: First Amendment)","Constitution: Article I, Section 6, Paragraph 1 (speech or debate clause)"
"Green v. County School Board of New Kent County",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"391 U.S. 430","1967-139","1968-05-27","Civil Rights","desegregation, schools","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"Gregory v. Ashcroft",2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"501 U.S. 452","1990-114","1991-06-20","Civil Rights","employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.","Federal Statute: Age Discrimination in Employment"
"Harris v. Quinn",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"573 U.S. 616","2013-071","2014-06-30","Unions","labor-management disputes: right to organize","Constitutional Amendment: First Amendment (speech, press, and assembly) (NA)"
"Heffron v. International Society for Krishna Consciousness, Inc.",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"452 U.S. 640","1980-128","1981-06-22","First Amendment","free exercise of religion","Constitutional Amendment: First Amendment (free exercise of religion)"
"Hepburn v. Griswold",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"75 U.S. 603","1869-165","1870-02-07","Economic Activity","miscellaneous economic regulation","Constitution: Article I, Section 8, Paragraph 18 (necessary and proper clause)"
"Hirabayashi v. United States",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"320 U.S. 81","1942-044","1943-06-21","Criminal Procedure","statutory construction of criminal laws: war crimes","Constitution: Article I, Section 8, Paragraph 11 (war power)"
"Hutchinson v. Proxmire",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"443 U.S. 111","1978-143","1979-06-26","First Amendment","libel, defamation: defamation of public officials and public and private persons","Constitution: Article I, Section 6, Paragraph 1 (speech or debate clause)"
"J.W. Hampton Jr. & Co. v. United States",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"276 U.S. 394","1927-061","1928-04-09","Federal Taxation","federal taxation of gifts, personal, business, or professional expenses","Infrequently litigated statutes: Infrequently litigated statutes (tax law)"
