term,docket,usCite,caseTitle,dateArgument,dateRearg,audioExists,advocatesPetitioner,advocatesRespondent,advocatesOther,dateDecision,caseLink
1978,"77-1163","440 U.S. 1","Friedman et al. v. Rogers et al","1978-11-08","",true,"","","dorothy_prengler,larry_niemann,robert_keith","1979-02-21","https://www.oyez.org/cases/1978/77-1163"
1978,"77-1465","440 U.S. 29","Director, Office of Workers' Compensation Programs v. Rasmussen","1978-11-28","",true,"albert_sennett,kent_jones","james_ostmann","","1979-02-21","https://www.oyez.org/cases/1978/77-1465"
1978,"77-1410","440 U.S. 48","Butner v. United States","1978-11-27","",true,"steven_brackett","joe_cagle","allan_ryan","1979-02-21","https://www.oyez.org/cases/1978/77-1410"
1978,"78 Orig.","440 U.S. 59","California v. Arizona","1979-01-09","",true,"","","allan_goodman,louis_claiborne,russell_kolsrud","1979-02-22","https://www.oyez.org/cases/1978/78_orig"
1978,"77-654","440 U.S. 69","Great Atlantic & Pacific Tea Company, Inc. v. Federal Trade Commission","1978-12-04","",true,"denis_mcinerney","frank_easterbrook","","1979-02-22","https://www.oyez.org/cases/1978/77-654"
1978,"77-1254","440 U.S. 93","Vance v. Bradley","1978-11-27","",true,"wade_mccree","zona_hostetler","","1979-02-22","https://www.oyez.org/cases/1978/77-1254"
1978,"77-742","440 U.S. 125","Miller v. Youakim","1978-10-30","",true,"paul_bargiel","robert_lehrer","","1979-02-22","https://www.oyez.org/cases/1978/77-742"
1978,"77-1134","440 U.S. 147","Montana v. United States","1978-12-04","",true,"robert_poore","stuart_smith","","1979-02-22","https://www.oyez.org/cases/1978/77-1134"
1978,"77-1248","440 U.S. 173","Illinois State Board of Elections v. Socialist Workers Party","1978-11-06","",true,"michael_levinson","jeffrey_colman,ronald_reosti","","1979-02-22","https://www.oyez.org/cases/1978/77-1248"
1978,"77-1652","440 U.S. 192","FERC v. Shell Oil Co.","1979-01-15","",true,"","","charles_hill,howard_shapiro,thomas_johnson","1979-02-22","https://www.oyez.org/cases/1978/77-1652"
1978,"78-443","440 U.S. 194","Harrah Independent School District v. Martin","","",false,"","","","1979-02-26","https://www.oyez.org/cases/1978/78-443"
1978,"78-551","440 U.S. 202","United States v. Bodcaw Company","","",false,"","","","1979-02-26","https://www.oyez.org/cases/1978/78-551"
1978,"77-952","440 U.S. 205","Group Life & Health Insurance Company v. Royal Drug Company, Inc.","1978-10-11","",true,"keith_kaiser","joel_pullen,richard_allen","","1979-02-27","https://www.oyez.org/cases/1978/77-952"
